event_id,item,total,note
23926,"Plastic packaging food (wrap, packets, containers)",6,"5 x confectionery, 1 x KFC"
23926,"Plastic film remnants (bits of plastic bag, wrap etc)",4,
23926,"Plastic drink bottles (water, juice, milk, soft drink)",3,"2 x Lipton, 1 x Cool Ridge"
23926,Plastic bits & pieces hard & solid,2,
23926,"Straws, confection sticks, cups, plates & cutlery",1,1 x straw
23926,"Plastic bags supermarket, garbage, dog poo, ice",1,1 x fruit and veg bag
23926,Occupational health & safety items,1,1 x glove
23926,Medical waste,1,
23926,Foam insulation & packaging (whole and remnants),1,
23926,"Foam cups, food packs & trays",1,
23926,Aluminium cans,1,1 x Monster
23926,"Miscellaneous paper, labels & tickets",1,1 x paper remnant
23926,"Tape adhesive, electrical, duct, hazard marker & rolls",1,
23923,"Plastic packaging food (wrap, packets, containers)",14,"9 x confectionery, 1 x Gong Cha takeaway bag, 2 x takeaway, 1 x Lotus Chopsticks straw wrapper, 1 x other food package"
23923,Plastic bits & pieces hard & solid,7,
23923,Plastic wrap non food (bubble wrap etc),4,2 x plastic cigarette pack wrap
23923,"Lids & tops, pump spray, flow restrictor & similar",3,
23923,"Plastic drink bottles (water, juice, milk, soft drink)",3,"1 x Nu Water, 1 x Fuzetea, 1 x Keshav drink"
23923,"Plastic film remnants (bits of plastic bag, wrap etc)",3,
23923,Foam insulation & packaging (whole and remnants),2,
23923,"Plastic bags supermarket, garbage, dog poo, ice",2,"1 x fruit and veg bag, 1 x other plastic bag"
23923,"Miscellaneous paper, labels & tickets",1,1 x paper remnant
23923,Paper & cardboard packaging,1,1 x paper coffee cup
23923,Occupational health & safety items,1,1 x face mask
23923,Cigarette butts & filters,1,
23923,Drug paraphernalia,1,
23923,"Sanitary (tissues, nappies, condoms, cotton buds)",1,1 x cotton bud stick
23923,"Tape adhesive, electrical, duct, hazard marker & rolls",1,
23922,Cigarette butts & filters,7,
23922,"Plastic packaging food (wrap, packets, containers)",7,"6 x confectionery, 1 x McDonalds"
23922,Plastic wrap non food (bubble wrap etc),7,4 x plastic cigarette pack wrap
23922,"Plastic film remnants (bits of plastic bag, wrap etc)",3,
23922,Foam insulation & packaging (whole and remnants),2,
23922,"Cloth, clothing, hats & towels",1,
23922,"Foil wrappers, packets, bladders & alfoil",1,
23922,Plastic bits & pieces hard & solid,1,
23922,Paper & cardboard packaging,1,1 x McDonalds
23922,"Miscellaneous paper, labels & tickets",1,1 x paper remnant
23922,"Plastic bags supermarket, garbage, dog poo, ice",1,1 x ziplock bag
23922,"Tape adhesive, electrical, duct, hazard marker & rolls",1,
23921,"Plastic packaging food (wrap, packets, containers)",17,"15 x confectionery, 1 x Hungry Jacks, 1 x other food package"
23921,Plastic wrap non food (bubble wrap etc),12,12 x plastic cigarette pack wrap
23921,"Miscellaneous paper, labels & tickets",4,"3 x paper receipts, 1 x paper remnant"
23921,"Plastic film remnants (bits of plastic bag, wrap etc)",3,
23921,"Packaging accessories (seals, reels, spools, handles)",2,2 x plastic labels
23921,Cigarette butts & filters,1,
23921,Foam insulation & packaging (whole and remnants),1,
23921,Occupational health & safety items,1,1 x face mask
23920,Plastic wrap non food (bubble wrap etc),10,10 x plastic cigarette pack wrap
23920,"Plastic film remnants (bits of plastic bag, wrap etc)",4,
23920,Cigarette butts & filters,4,
23920,"Plastic packaging food (wrap, packets, containers)",3,"2 x confectionery, 1 x other food package"
23920,"Foil wrappers, packets, bladders & alfoil",3,
23920,Aluminium cans,1,1 x Mother
23920,"Plastic bags supermarket, garbage, dog poo, ice",1,1 x fruit and veg bag
23919,"Miscellaneous paper, labels & tickets",3,3 x paper remnants
23919,"Plastic packaging food (wrap, packets, containers)",3,"1 x Mentos, 1 x Seven Eleven takeaway, 1 x other food package"
23919,"Plastic film remnants (bits of plastic bag, wrap etc)",2,
23919,"Plastic bags supermarket, garbage, dog poo, ice",2,"1 x ziplock bag, 1 x fruit and veg bag"
23919,Cigarette butts & filters,2,
23919,"Tape adhesive, electrical, duct, hazard marker & rolls",1,
23919,"Straws, confection sticks, cups, plates & cutlery",1,1 x bubble tea straw
23919,Foam insulation & packaging (whole and remnants),1,
23919,Occupational health & safety items,1,1 x glove
23918,Cigarette butts & filters,38,
23918,Plastic wrap non food (bubble wrap etc),37,28 x plastic cigarette pack wrap
23918,"Plastic film remnants (bits of plastic bag, wrap etc)",34,
23918,"Miscellaneous paper, labels & tickets",33,"1 x paper receipt, 32 x paper remnants"
23918,"Plastic packaging food (wrap, packets, containers)",22,"18 x confectionery, 1 x takeaway, 1 x Gloria Jeans cup, 1 x coffee cup lid, 1 x other food package"
23918,"Foil wrappers, packets, bladders & alfoil",9,
23918,"Tape adhesive, electrical, duct, hazard marker & rolls",8,
23918,"Foam cups, food packs & trays",6,
23918,Paper & cardboard packaging,6,"3 x cardboard package, 1 x McDonalds coffee cup, 1 x paper coffee cup, 1 x McDonalds takeaway"
23918,"Packaging accessories (seals, reels, spools, handles)",5,3 x plastic labels
23918,"Plastic bags supermarket, garbage, dog poo, ice",5,"1 x white shopping bag, 1 x ziplock bag, 3 x other plastic bag"
23918,Strapping band scraps,4,
23918,"Plastic packaging food (wrap, packets, containers)",4,"1 x Share Bubble Tea straw wrapper, 3 x straw wrapper"
23918,"Straws, confection sticks, cups, plates & cutlery",3,"2 x straws, 1 x lollipop stick"
23918,Occupational health & safety items,3,3 x gloves
23918,Strapping band whole (record as single item),3,
23918,"Sanitary (tissues, nappies, condoms, cotton buds)",3,
23918,Plastic bits & pieces hard & solid,2,
23918,"Wooden confection sticks, pencils, matches etc",1,
23918,"Plastic drink bottles (water, juice, milk, soft drink)",1,1 x A Bottle Of Water brand
23918,"Plastic packaging food (wrap, packets, containers)",1,1 x McDonalds toy wrap
23918,Aluminium cans,1,1 x Jim Beam
23918,Rubber remnants,1,
23917,"Miscellaneous paper, labels & tickets",6,6 x paper remnants
23917,"Plastic packaging food (wrap, packets, containers)",5,"3 x confectionery, 1 x CoCo Bubble Tea straw wrapper, 1 x Share Bubble Tea straw wrapper"
23917,Plastic wrap non food (bubble wrap etc),5,4 x plastic cigarette pack wrap
23917,Foam insulation & packaging (whole and remnants),4,
23917,"Plastic packaging food (wrap, packets, containers)",4,"1 x Lotus Chopsticks straw wrapper, 1 x Panda straw wrapper, 2 x straw wrapper"
23917,"Plastic bags supermarket, garbage, dog poo, ice",3,"1 x fruit and veg bag, 2 x other plastic bag"
23917,"Plastic film remnants (bits of plastic bag, wrap etc)",2,
23917,"Foam cups, food packs & trays",1,
23917,Paper & cardboard packaging,1,1 x takeaway
23916,Plastic wrap non food (bubble wrap etc),59,54 x plastic cigarette pack wrap
23916,"Plastic packaging food (wrap, packets, containers)",28,"26 x straw wrapper, 1 x Orchie straw wrapper, 1 x Gotcha Bubble Tea straw wrapper"
23916,"Plastic packaging food (wrap, packets, containers)",17,"13 x Share Bubble Tea straw wrapper, 4 x CoCo Bubble Tea straw wrapper"
23916,"Plastic packaging food (wrap, packets, containers)",14,"7 x confectionery, 3 x Mentos, 1 x takeaway, 1 x Yakult, 1 x Northbrook waterbottle label, 1 x other food package"
23916,"Foil wrappers, packets, bladders & alfoil",5,
23916,Cigarette butts & filters,3,
23916,"Plastic film remnants (bits of plastic bag, wrap etc)",3,
23916,Paper & cardboard packaging,2,"1 x paper straw wrapper, 1 x takeaway"
23916,"Lids & tops, pump spray, flow restrictor & similar",2,
23916,Gas & volatile liquid capsules & cans,2,
23916,"Packaging accessories (seals, reels, spools, handles)",1,1 x plastic label
23916,"Plastic drink bottles (water, juice, milk, soft drink)",1,1 x Woolworths waterbottle
23916,Aluminium cans,1,1 x Pepsi
23916,"Straws, confection sticks, cups, plates & cutlery",1,1 x bubble tea straw
23916,"Tape adhesive, electrical, duct, hazard marker & rolls",1,
23916,"Wooden confection sticks, pencils, matches etc",1,
23916,Foam insulation & packaging (whole and remnants),1,
23915,Plastic wrap non food (bubble wrap etc),57,52 x plastic cigarette pack wrap
23915,"Plastic packaging food (wrap, packets, containers)",56,"49 x straw wrappers, 5 x Share Bubble Tea straw wrapper, 2 x Gotcha Bubble Tea straw wrapper"
23915,"Plastic film remnants (bits of plastic bag, wrap etc)",23,
23915,"Plastic packaging food (wrap, packets, containers)",15,"10 x confectionery, 1 x Mentos, 1 x Bubble Tea heart straw stopper, 2 x Gloria Jeans cup, 1 x Toppings & Tea cup"
23915,"Plastic bags supermarket, garbage, dog poo, ice",14,"1 x ziplock bag, 6 x fruit and veg bags, 7 x other plastic bag"
23915,"Foam cups, food packs & trays",13,
23915,"Plastic packaging food (wrap, packets, containers)",8,"5 x takeaway, 1 x coffee cup lid, 2 x other food package"
23915,"Miscellaneous paper, labels & tickets",7,"6 x paper remnants, 1 x miscellaneous paper "
23915,"Straws, confection sticks, cups, plates & cutlery",7,"1 x cutlery, 5 x bubble tea straw, 1 x straw"
23915,Cigarette butts & filters,5,
23915,"Plastic packaging food (wrap, packets, containers)",4,"2 x CoCo Bubble Tea straw wrapper, 1 x Panda straw wrapper, 1 x Ochie straw wrapper"
23915,"Sanitary (tissues, nappies, condoms, cotton buds)",2,
23915,Foam insulation & packaging (whole and remnants),2,
23915,"Plastic packaging food (wrap, packets, containers)",2,"1 x Hot Star takeaway bag, 1 x Healthy Cup takeaway bag"
23915,Plastic bits & pieces hard & solid,2,
23915,Medical waste,2,
23915,"Foil wrappers, packets, bladders & alfoil",2,
23915,Occupational health & safety items,2,"1 x face mask, 1 x glove"
23915,"Tape adhesive, electrical, duct, hazard marker & rolls",1,
23915,Paper & cardboard packaging,1,1 x paper straw wrapper
23915,"Municipal activities (tree guard, barrier fence etc)",1,1 x parking ticket
23915,"Plastic drink bottles (water, juice, milk, soft drink)",1,1 x Coke
23915,"Rubber balloons, balls & toys, elastic straps & bands",1,1 x rubber band
23914,Cigarette butts & filters,35,
23914,Plastic wrap non food (bubble wrap etc),28,28 x plastic cigarette pack wrap
23914,"Plastic packaging food (wrap, packets, containers)",23,"5 x confectionery, 1 x Mentos, 1 x takeaway, 1 x coffee cup lid, 15 x straw wrapper"
23914,"Plastic packaging food (wrap, packets, containers)",9,"4 x Share Bubble Tea straw wrapper, 1 x Iconic in Beverage straw wrapper, 2 x green/white Asian straw wrapper"
23914,"Plastic film remnants (bits of plastic bag, wrap etc)",3,
23914,Glass or ceramic broken,2,
23914,"Miscellaneous paper, labels & tickets",2,2 x paper remnants
23914,"Sanitary (tissues, nappies, condoms, cotton buds)",1,
23914,"Straws, confection sticks, cups, plates & cutlery",1,1 x straw
23914,"Foil wrappers, packets, bladders & alfoil",1,
23914,Occupational health & safety items,1,1 x glove
23914,"Tape adhesive, electrical, duct, hazard marker & rolls",1,
23914,Paper & cardboard packaging,1,1 x paper coffee cup
23914,"Plastic bags supermarket, garbage, dog poo, ice",1,1 x other plastic bag
23914,"Foam cups, food packs & trays",1,
23914,Metal tools,1,
23913,Glass or ceramic broken,26,
23913,"Plastic film remnants (bits of plastic bag, wrap etc)",5,
23913,"Plastic packaging food (wrap, packets, containers)",4,"1 x confectionery, 2 x takeaway, 1 x coffee cup lid"
23913,"Plastic drink bottles (water, juice, milk, soft drink)",3,"1 x Powerade, 1 x Frantelle, 1 x Mount Franklin"
23913,Plastic wrap non food (bubble wrap etc),3,3 x plastic cigarette pack wrap
23913,"Foil wrappers, packets, bladders & alfoil",3,
23913,Plastic bits & pieces hard & solid,2,
23913,Aluminium cans,2,2 x Coke
23913,"Plastic bags supermarket, garbage, dog poo, ice",2,2 x ziplock bag
23913,Occupational health & safety items,1,1 x glove
23913,"Metal bottle caps, lids & pull tabs",1,
23913,Cable ties & plastic fasteners,1,
23913,"Rubber balloons, balls & toys, elastic straps & bands",1,1 x balloon
23913,Rubber remnants,1,
23913,"Straws, confection sticks, cups, plates & cutlery",1,1 x straw
23913,"Tape adhesive, electrical, duct, hazard marker & rolls",1,
23912,"Plastic film remnants (bits of plastic bag, wrap etc)",11,
23912,"Plastic packaging food (wrap, packets, containers)",5,"3 x confectionery, 1 x takeaway, 1 x Coles waterbottle label"
23912,Cigarette butts & filters,4,
23912,Plastic wrap non food (bubble wrap etc),2,2 x plastic cigarette pack wrap
23912,"Packaging accessories (seals, reels, spools, handles)",2,2 x plastic labels
23912,"Miscellaneous paper, labels & tickets",1,1 x paper remnant
23912,Metal tools,1,1 x padlock
23912,"Sanitary (tissues, nappies, condoms, cotton buds)",1,
23912,"Construction material (brick, cement, pipe)",1,
23912,"Straws, confection sticks, cups, plates & cutlery",1,1 x McDonalds straw
23912,"Plastic bags supermarket, garbage, dog poo, ice",1,1 x ziplock bag
23911,Foam insulation & packaging (whole and remnants),13,
23911,Plastic bits & pieces hard & solid,11,
23911,"Miscellaneous paper, labels & tickets",3,3 x paper remnants
23911,"Plastic packaging food (wrap, packets, containers)",3,3 x confectionery
23911,"Plastic film remnants (bits of plastic bag, wrap etc)",3,
23911,Plastic wrap non food (bubble wrap etc),2,2 x plastic cigarette pack wrap
23911,Cigarette butts & filters,2,
23911,Paper & cardboard packaging,1,1 x McDonalds takeaway
23911,"Pens, markers & other plastic stationary",1,
23910,"Plastic film remnants (bits of plastic bag, wrap etc)",4,
23910,Cigarette butts & filters,3,
23910,"Foil wrappers, packets, bladders & alfoil",3,
23910,"Plastic packaging food (wrap, packets, containers)",2,2 x confectionery
23910,"Plastic bags supermarket, garbage, dog poo, ice",2,"1 x ziplock bag, 1 x other plastic bag"
23910,"Straws, confection sticks, cups, plates & cutlery",2,2 x straws
23910,Paper & cardboard packaging,2,"1 x McDonalds, 1 x Subway"
23910,Rubber remnants,1,
23910,"Toys, party poppers, ribbons, clips & similar",1,
23910,Plastic wrap non food (bubble wrap etc),1,1 x plastic cigarette pack wrap
23910,"Tape adhesive, electrical, duct, hazard marker & rolls",1,
23910,Plastic bits & pieces hard & solid,1,
23910,Foam insulation & packaging (whole and remnants),1,
23910,"Miscellaneous paper, labels & tickets",1,1 x paper remnant
23910,Occupational health & safety items,1,1 x glove
23910,Metal scrap & remnants,1,
23910,Personal care & pharmaceutical packaging,1,
23909,"Packaging accessories (seals, reels, spools, handles)",24,24 x plastic label backing
23909,Occupational health & safety items,7,"6 x gloves, 1 x hairnet "
23909,"Tape adhesive, electrical, duct, hazard marker & rolls",6,
23909,"Plastic packaging food (wrap, packets, containers)",5,"3 x confectionery, 1 x coffee cup lid, 1 x other food package"
23909,"Sanitary (tissues, nappies, condoms, cotton buds)",4,
23909,"Miscellaneous paper, labels & tickets",4,4 x paper remnants
23909,Plastic wrap non food (bubble wrap etc),2,2 x plastic cigarette pack wrap
23909,Paper & cardboard packaging,2,2 x cardboard package
23909,Strapping band scraps,1,
23909,Paper & cardboard packaging,1,1 x chewing gum wrapper
23909,"Plastic film remnants (bits of plastic bag, wrap etc)",1,
23909,Rope & net scraps less than 1 metre,1,
23908,Cigarette butts & filters,43,
23908,Plastic wrap non food (bubble wrap etc),15,11 x plastic cigarette pack wrap
23908,"Plastic packaging food (wrap, packets, containers)",6,"3 x confectionery, 1 x takeaway, 2 x other food package"
23908,Plastic bits & pieces hard & solid,5,
23908,"Plastic film remnants (bits of plastic bag, wrap etc)",4,
23908,Paper & cardboard packaging,3,"2 x cardboard package, 1 x Subway takeaway"
23908,Occupational health & safety items,2,"1 x glove, 1 x reusable glove"
23908,"Lids & tops, pump spray, flow restrictor & similar",2,
23908,Foam insulation & packaging (whole and remnants),2,
23908,"Sanitary (tissues, nappies, condoms, cotton buds)",2,
23908,"Miscellaneous paper, labels & tickets",2,2 x paper remnants
23908,"Plastic bags supermarket, garbage, dog poo, ice",1,1 x white shopping bag - reusable
23908,"Processed timber, pallets & other wood",1,
23908,"Straws, confection sticks, cups, plates & cutlery",1,1 x straw
23908,"Tape adhesive, electrical, duct, hazard marker & rolls",1,
23908,"Wire, metal stakes & pipes",1,
23908,Cable ties & plastic fasteners,1,
23908,Container contents intact & spilt content,1,
23907,"Miscellaneous paper, labels & tickets",5,"2 x paper receipts, 3 x paper remnants"
23907,Plastic wrap non food (bubble wrap etc),5,4 x plastic cigarette pack wrap
23907,"Plastic packaging food (wrap, packets, containers)",4,"3 x confectionery, 1 x other food package"
23907,"Plastic film remnants (bits of plastic bag, wrap etc)",2,
23907,Paper & cardboard packaging,1,1 x cardboard package
23907,Cigarette butts & filters,1,
23907,Foam insulation & packaging (whole and remnants),1,
23906,Plastic wrap non food (bubble wrap etc),4,4 x plastic cigarette pack wrap
23906,"Plastic packaging food (wrap, packets, containers)",3,"2 x confectionery, 1 x takeaway"
23906,"Sanitary (tissues, nappies, condoms, cotton buds)",3,
23906,Paper & cardboard packaging,1,1 x chewing gum wrapper
23906,Paper & cardboard packaging,1,1 x cardboard package
23906,"Miscellaneous paper, labels & tickets",1,1 x miscellaneous paper
23906,Aluminium cans,1,1 x Woodstock
23906,"Plastic film remnants (bits of plastic bag, wrap etc)",1,
23905,Glass or ceramic broken,69,
23905,Cigarette butts & filters,58,
23905,"Plastic film remnants (bits of plastic bag, wrap etc)",24,
23905,Plastic bits & pieces hard & solid,20,
23905,"Plastic packaging food (wrap, packets, containers)",14,"6 x confectionery, 1 x Mentos, 1 x Seven Eleven takeaway, 3 x takeaway, 3 x coffee cup lids"
23905,"Foil wrappers, packets, bladders & alfoil",10,
23905,Plastic wrap non food (bubble wrap etc),9,8 x plastic cigarette pack wrap
23905,"Metal bottle caps, lids & pull tabs",6,
23905,"Straws, confection sticks, cups, plates & cutlery",5,"1 x plastic cup, 1 x cutlery, 2 x McDonalds straws, 1 x straw"
23905,"Lids & tops, pump spray, flow restrictor & similar",5,
23905,"Plastic drink bottles (water, juice, milk, soft drink)",4,"1 x Mount Franklin, 1 x Ice Break"
23905,Paper & cardboard packaging,4,"1 x cardboard package, 3 x paper coffee cup"
23905,"Plastic packaging food (wrap, packets, containers)",3,"2 x straw wrappers, 1 x other food package"
23905,Metal scrap & remnants,3,
23905,Aluminium cans,2,"1 x Coke, 1 x Fanta"
23905,"Tape adhesive, electrical, duct, hazard marker & rolls",2,
23905,Foam insulation & packaging (whole and remnants),2,
23905,"Cloth, clothing, hats & towels",2,
23905,Occupational health & safety items,1,1 x glove
23905,"Miscellaneous paper, labels & tickets",1,1 x paper remnant
23905,"Plastic bags supermarket, garbage, dog poo, ice",1,1 x other plastic bag
23905,"Processed timber, pallets & other wood",1,
23905,"Rubber balloons, balls & toys, elastic straps & bands",1,1 x balloon
23905,"Pens, markers & other plastic stationary",1,
23905,"Appliances, electronics & batteries",1,
23905,"Packaging accessories (seals, reels, spools, handles)",1,1 x plastic label
23905,Strapping band scraps,1,
23905,"Foam cups, food packs & trays",1,
23905,Drug paraphernalia,1,
23902,"Plastic packaging food (wrap, packets, containers)",6,"4 x confectionery, 2 x coffee cup lids"
23902,Cigarette butts & filters,5,
23902,Plastic wrap non food (bubble wrap etc),4,4 x plastic cigarette pack wrap
23902,"Lids & tops, pump spray, flow restrictor & similar",2,
23902,"Plastic film remnants (bits of plastic bag, wrap etc)",2,
23902,"Foil wrappers, packets, bladders & alfoil",2,
23902,Paper & cardboard packaging,1,1 x paper coffee cup
23902,Plastic bits & pieces hard & solid,1,
23902,"Plastic housewares, tablewares, house fittings",1,
23901,Cigarette butts & filters,26,
23901,Plastic wrap non food (bubble wrap etc),12,12 x plastic cigarette pack wrap
23901,Plastic bits & pieces hard & solid,4,
23901,"Plastic film remnants (bits of plastic bag, wrap etc)",3,
23901,"Foil wrappers, packets, bladders & alfoil",2,
23901,"Packaging accessories (seals, reels, spools, handles)",2,2 x plastic labels
23901,Rubber remnants,1,
23901,"Sanitary (tissues, nappies, condoms, cotton buds)",1,
23901,Foam insulation & packaging (whole and remnants),1,
23901,"Metal bottle caps, lids & pull tabs",1,
23901,Paper & cardboard packaging,1,1 x takeaway
23900,"Miscellaneous paper, labels & tickets",16,16 x paper remnants
23900,Paper & cardboard packaging,14,"9 x cardboard package, 1 x paper coffee cup, 1 x KFC, 1 x McDonalds, 2 x takeaway"
23900,"Plastic packaging food (wrap, packets, containers)",11,"7 x confectionery, 1 x KFC, 1 x takeaway, 1 x coffee cup lid, 1 x straw wrapper"
23900,Foam insulation & packaging (whole and remnants),10,
23900,Occupational health & safety items,10,"9 x glove, 1 x face mask"
23900,Plastic wrap non food (bubble wrap etc),9,8 x plastic cigarette pack wrap
23900,Plastic bits & pieces hard & solid,5,
23900,"Plastic film remnants (bits of plastic bag, wrap etc)",4,
23900,Cigarette butts & filters,4,
23900,Strapping band whole (record as single item),1,
23900,"Straws, confection sticks, cups, plates & cutlery",1,1 x plate
23900,"Sanitary (tissues, nappies, condoms, cotton buds)",1,1 x cotton bud stick
23900,"Processed timber, pallets & other wood",1,
23900,"Plastic bags supermarket, garbage, dog poo, ice",1,1 x dog poo bag
23900,"Foil wrappers, packets, bladders & alfoil",1,
23900,Paper & cardboard packaging,1,1 x chewing gum wrapper
23899,Cigarette butts & filters,370,
23899,Plastic wrap non food (bubble wrap etc),20,16 x plastic cigarette pack wrap
