event_id,item,event_item,total,note
20780,"Plastic packaging food (wrap, packets, containers)","20780 Plastic packaging food (wrap, packets, containers)",70,"29 x Share Tea straw wrappers, 28 x straw wrappers, 13 x confectionery"
20781,"Plastic packaging food (wrap, packets, containers)","20781 Plastic packaging food (wrap, packets, containers)",39,"17 x confectionery, 1 x Snickers, 1 x Mentos, 4 x takeaway, 1 x Mount Franklin water bottle label, 3 x other food package, 3 x Share Tea straw wrappers, 1 x Coco Tea straw wrapper, 1 x Gotcha Tea straw wrapper, 7 x straw wrappers"
20782,Paper & cardboard packaging,20782 Paper & cardboard packaging,5,"3 x chewing gum wrappers, 2 x cardboard packaging"
20782,"Plastic packaging food (wrap, packets, containers)","20782 Plastic packaging food (wrap, packets, containers)",50,"25 x confectionery, 2 x Mentos, 3 x sushi fish, 1 x bread tag, 1 x Coles Spring water bottle label, 10 x Share Tea straw wrappers, 8 x straw wrappers"
20783,Paper & cardboard packaging,20783 Paper & cardboard packaging,2,"1 x takeaway, 1 x chewing gum wrapper"
20787,"Plastic packaging food (wrap, packets, containers)","20787 Plastic packaging food (wrap, packets, containers)",11,"6 x confectionery, 1 x other food package, 2 x straw wrappers, 1 x takeaway, 1 x McDonalds takeaway"
20788,Paper & cardboard packaging,20788 Paper & cardboard packaging,6,"3 x chewing gum wrappers, 1 x Foodary coffee cup, 1 x Seven Eleven coffee cup, 1 x McDonalds takeaway"
20788,"Plastic packaging food (wrap, packets, containers)","20788 Plastic packaging food (wrap, packets, containers)",23,"2 x Snickers, 2 x Mentos, 14 x confectionery, 1 x Seven Eleven takeaway, 1 x Seven Eleven coffee cup lid, 2 x other food package, 1 x Coles waterbottle label"
20788,"Rubber balloons, balls & toys, elastic straps & bands","20788 Rubber balloons, balls & toys, elastic straps & bands",3,2 x rubber bands
20794,Paper & cardboard packaging,20794 Paper & cardboard packaging,2,"1 x takeaway, 1 x chewing gum wrapper"
20795,"Straws, confection sticks, cups, plates & cutlery","20795 Straws, confection sticks, cups, plates & cutlery",10,"5 x McDonalds plastic cups, 1 x straw, 4 x McDonalds straw"
20800,Paper & cardboard packaging,20800 Paper & cardboard packaging,11,"8 x cardboard packaging, 1 x Gloria Jeans coffee cup, 1 x Pie Face coffee cup, 1 x cardboard cigarette pack"
20801,Plastic wrap non food (bubble wrap etc),20801 Plastic wrap non food (bubble wrap etc),2,"1 x plastic label, 1 x plastic cigarette pack wrap"
20825,Paper & cardboard packaging,20825 Paper & cardboard packaging,18,"3 x Subway serviettes, 4 x serviettes, 2 x chewing gum wrappers, 3 x cardboard package, 1 x Seven Eleven coffee cup, 2 x takeaway, 1 x McDonalds takeaway, 2 x cardboard cigarette packets"
20826,Paper & cardboard packaging,20826 Paper & cardboard packaging,7,"2 x cardboard package, 1 x McDonalds takeaway, 2 x takeaway, 1 x cardboard cigarette pack, 1 x chewing gum wrapper"
20827,Paper & cardboard packaging,20827 Paper & cardboard packaging,7,"6 x chewing gum wrappers, 1 x paper coffee cup"
20828,Paper & cardboard packaging,20828 Paper & cardboard packaging,4,"1 x McDonalds takeaway, 2 x takeaway, 1 x chewing gum wrapper"
20829,Paper & cardboard packaging,20829 Paper & cardboard packaging,9,"4 x cardboard package, 1 x McDonalds takeaway, 1 x takeaway, 1 x cardboard cigarette pack, 2 x chewing gum wrappers"
20830,Paper & cardboard packaging,20830 Paper & cardboard packaging,2,"1 x takeaway, 1 x chewing gum wrapper"
20831,Paper & cardboard packaging,20831 Paper & cardboard packaging,9,"6 x takeaway, 1 x McDonalds takeaway, 2 x chewing gum wrappers"
20832,Paper & cardboard packaging,20832 Paper & cardboard packaging,9,"6 x takeaway package, 3 x chewing gum wrappers"
20834,"Miscellaneous paper, labels & tickets","20834 Miscellaneous paper, labels & tickets",78,"39 x personal mail and letters, 1 x business card, 2 x paper receipts, 36 x paper remnants"
20838,Paper & cardboard packaging,20838 Paper & cardboard packaging,3,"2 x chewing gum wrappers, 1 x cardboard cigarette pack"
20840,Paper & cardboard packaging,20840 Paper & cardboard packaging,8,"1 x cardboard package, 2 x Bakers Delight takeaway, 4 x takeaway, 1 x chewing gum wrapper"
20841,Paper & cardboard packaging,20841 Paper & cardboard packaging,2,"1 x cardboard package, 1 x chewing gum wrapper"
20847,Paper & cardboard packaging,20847 Paper & cardboard packaging,5,"4 x chewing gum wrappers, 1 x Hungry Jacks takeaway cup"
20852,Paper & cardboard packaging,20852 Paper & cardboard packaging,8,"3 x cardboard package, 4 x takeaway, 1 x chewing gum wrapper"
20856,Plastic bits & pieces hard & solid,20856 Plastic bits & pieces hard & solid,5,1 x plastic shaving
20858,Paper & cardboard packaging,20858 Paper & cardboard packaging,4,"1 x cardboard package, 1 x McDonalds takeaway, 1 x takeaway, 1 x chewing gum wrapper"
20859,"Miscellaneous paper, labels & tickets","20859 Miscellaneous paper, labels & tickets",47,"29 x serviettes, 1 x business card, 6 x paper receipts, 8 x paper remnants, 3 x miscellaneous paper"
20859,Paper & cardboard packaging,20859 Paper & cardboard packaging,8,"1 x YOMG frozen yogurt takeaway, 1 x takeaway, 2 x cardboard cigarette packs, 4 x chewing gum wrappers"
20862,Paper & cardboard packaging,20862 Paper & cardboard packaging,4,"1 x coffee cup, 1 x St Paul's ice-cream takeaway cup, 2 x chewing gum wrappers"
20864,Paper & cardboard packaging,20864 Paper & cardboard packaging,5,"3 x takeaway, 2 x chewing gum wrappers"
20875,Paper & cardboard packaging,20875 Paper & cardboard packaging,5,"4 x chewing gum wrappers, 1 x Maples Footscray Cafe coffee cup"
20876,Paper & cardboard packaging,20876 Paper & cardboard packaging,9,"2 x cardboard package, 1 x Seven Eleven coffee cup, 2 x takeaway, 1 x cardboard cigarette pack, 3 x chewing gum wrappers"
20876,"Plastic packaging food (wrap, packets, containers)","20876 Plastic packaging food (wrap, packets, containers)",30,"13 x confectionery, 6 x Mentos, 1 x takeaway, 3 x Share bubble tea straw wrappers, 5 x straw wrappers, 2 x Seven Eleven coffee cup lids"
20877,Paper & cardboard packaging,20877 Paper & cardboard packaging,3,"1 x McDonalds takeaway, 1 x cardboard cigarette pack, 1 x chewing gum wrapper"
20877,"Plastic drink bottles (water, juice, milk, soft drink)","20877 Plastic drink bottles (water, juice, milk, soft drink)",3,"1 x Pran Mango Juice, 1 x Kirkland Water Costco"
20877,"Plastic packaging food (wrap, packets, containers)","20877 Plastic packaging food (wrap, packets, containers)",63,"40 x confectionery, 3 x Mentos, 3 x takeaway, 2 x Chatime bubble tea straw wrappers, 3 x Coco bubble tea straw wrappers, 4 x straw wrappers, 1 x Cool Ridge water bottle label, 1 x Seven Eleven water bottle label, 6 x other food package"
20878,Paper & cardboard packaging,20878 Paper & cardboard packaging,11,"1 x cardboard package, 1 x Spanish Donuts takeaway, 2 x takeaway, 6 x coffee cups, 1 x chewing gum wrapper"
20878,"Plastic packaging food (wrap, packets, containers)","20878 Plastic packaging food (wrap, packets, containers)",47,"25 x confectionery, 3 x Mentos, 4 x takeaway, 6 x coffee cup lids, 2 x Chatime bubble tea straw wrappers, 1 x Coco bubble tea straw wrapper, 1 x Share bubble tea straw wrapper, 5 x straw wrappers"
20881,Paper & cardboard packaging,20881 Paper & cardboard packaging,38,"1 x Seven Eleven coffee cup, 1 x coffee cup, 1 x Hungry Jacks takeaway, 1 x McDonalds takeaway, 15 x takeaway, 13 x chewing gum wrappers, 1 x cardboard package, 5 x cardboard cigarette pack"
20882,Paper & cardboard packaging,20882 Paper & cardboard packaging,7,"1 x cardboard package, 4 x paper coffee cup, 1 x takeaway, 1 x chewing gum wrapper"
20882,"Plastic packaging food (wrap, packets, containers)","20882 Plastic packaging food (wrap, packets, containers)",34,"18 x confectionery, 14 x coffee cup lids, 1 x Gong Cha bubble tea takeaway cup, 1 x Chatime bubble tea straw wrapper"
20885,Paper & cardboard packaging,20885 Paper & cardboard packaging,12,"3 x cardboard package, 5 x takeaway, 1 x cardboard cigarette pack, 3 x chewing gum wrappers"
20886,"Miscellaneous paper, labels & tickets","20886 Miscellaneous paper, labels & tickets",13,"1 x paper receipt, 9 x paper remnants, 1 x miscellaneous paper, 2 x paper wrist bands"
20886,Paper & cardboard packaging,20886 Paper & cardboard packaging,6,"2 x takeaway, 1 x McDonalds takeaway, 3 x chewing gum wrappers"
20888,"Miscellaneous paper, labels & tickets","20888 Miscellaneous paper, labels & tickets",16,"1 x paper receipt, 14 x paper remnants, 1 x paper wrist band"
20888,Paper & cardboard packaging,20888 Paper & cardboard packaging,9,"6 x chewing gum wrappers, 1 x cardboard package, 1 x takeaway, 1 x Nandos takeaway"
20888,"Rubber balloons, balls & toys, elastic straps & bands","20888 Rubber balloons, balls & toys, elastic straps & bands",2,"1 x rubber band, 1 x rubber toy"
20889,Paper & cardboard packaging,20889 Paper & cardboard packaging,5,"1 x cardboard package, 1 x paper coffee cup, 2 x chewing gum wrappers"
20891,Paper & cardboard packaging,20891 Paper & cardboard packaging,4,"1 x Seven Eleven coffee cup, 1 x AM Alamy coffee cup, 1 x AM Alamy takeaway, 1 x cardboard package"
20891,"Plastic drink bottles (water, juice, milk, soft drink)","20891 Plastic drink bottles (water, juice, milk, soft drink)",5,1 x Nu Spring Water 600ml
20894,Paper & cardboard packaging,20894 Paper & cardboard packaging,5,"2 x cardboard package, 1 x paper coffee cup, 1 x cardboard cigarette pack, 1 x chewing gum wrapper"
20895,"Plastic packaging food (wrap, packets, containers)","20895 Plastic packaging food (wrap, packets, containers)",28,"16 x confectionery, 9 x Mentos, 1 x coffee cup lid, 1 x Sirma water bottle label, 1 x Mount Franklin water bottle label"
20895,"Rubber balloons, balls & toys, elastic straps & bands","20895 Rubber balloons, balls & toys, elastic straps & bands",6,"5 x rubber bands, 1 x rubber toy"
20897,"Plastic packaging food (wrap, packets, containers)","20897 Plastic packaging food (wrap, packets, containers)",29,"22 x confectionery, 3 x Mentos, 1 x McDonalds takeaway, 1 x takeaway, 1 x Seven Eleven coffee cup lid, 1 x other food package"
20897,"Toys, party poppers, ribbons, clips & similar","20897 Toys, party poppers, ribbons, clips & similar",6,5 x confetti / glitter
20899,Paper & cardboard packaging,20899 Paper & cardboard packaging,4,"3 x chewing gum wrappers, 1 x takeaway"
20904,"Rubber balloons, balls & toys, elastic straps & bands","20904 Rubber balloons, balls & toys, elastic straps & bands",4,"3 x rubber bands, 1 x balloon"
20916,Paper & cardboard packaging,20916 Paper & cardboard packaging,4,"2 x cardboard cigarette pack, 2 x chewing gum wrappers"
20917,"Miscellaneous paper, labels & tickets","20917 Miscellaneous paper, labels & tickets",10,"3 x paper remnants, 3 x miscellaneous paper, 2 x paper wrist bands, 1 x serviette, 1 x paper lotto ticket"
20917,Paper & cardboard packaging,20917 Paper & cardboard packaging,4,"1 x Starbucks coffee cup, 1 x takeaway, 2 x chewing gum wrappers"
20920,Paper & cardboard packaging,20920 Paper & cardboard packaging,2,"1 x chewing gum wrapper, 1 x Subway takeaway"
21378,Paper & cardboard packaging,21378 Paper & cardboard packaging,9,"4 x McDonalds takeaway, 3 x chewing gum wrappers, 1 x coffee cup, 1 x cardboard cigarette pack"
21380,Paper & cardboard packaging,21380 Paper & cardboard packaging,4,"1 x McDonalds takeaway, 1 x Hungry Jacks takeaway, 1 x cardboard takeaway, 1 x cardboard cigarette pack"
21381,Paper & cardboard packaging,21381 Paper & cardboard packaging,5,"1 x cardboard package, 1 x Tico's coffee cup, 1 x coffee cup, 2 x chewing gum wrappers"
21383,Paper & cardboard packaging,21383 Paper & cardboard packaging,12,"1 x Bundaberg 4 pack cardboard package, 5 x McDonalds takeaway, 1 x KFC takeaway, 2 x takeaway, 1 x cardboard cigarette pack, 2 x chewing gum wrappers"
21385,Paper & cardboard packaging,21385 Paper & cardboard packaging,9,"1 x cardboard package, 1 x Hungry Jacks takeaway, 1 x McDonalds takeaway, 2 x Subway takeaway, 1 x takeaway, 3 x chewing gum wrappers"
21386,Paper & cardboard packaging,21386 Paper & cardboard packaging,5,"1 x paper coffee cup, 3 x takeaway, 1 x chewing gum wrapper"
21389,Paper & cardboard packaging,21389 Paper & cardboard packaging,3,"1 x KFC takeaway, 1 x cardboard cigarette pack, 1 x chewing gum wrapper"
21394,Paper & cardboard packaging,21394 Paper & cardboard packaging,19,"11 x cardboard takeaway, 8 x chewing gum wrappers"
21395,Plastic wrap non food (bubble wrap etc),21395 Plastic wrap non food (bubble wrap etc),14,"1 x plastic wrap non-food, 12 x plastic cigarette pack wrap, 1 x plastic label"
21397,Paper & cardboard packaging,21397 Paper & cardboard packaging,7,"4 x cardboard takeaway, 3 x chewing gum wrappers"
21440,Paper & cardboard packaging,21440 Paper & cardboard packaging,4,"1 x cardboard package, 2 x takeaway, 1 x chewing gum wrapper"
21443,Paper & cardboard packaging,21443 Paper & cardboard packaging,3,"1 x paper coffee cup, 1 x takeaway, 1 x chewing gum wrapper"
21444,Paper & cardboard packaging,21444 Paper & cardboard packaging,10,"4 x cardboard package, 1 x Kodama coffee cup, 1 x Bakers Delight takeaway, 1 x takeaway, 3 x chewing gum wrappers"
21446,Paper & cardboard packaging,21446 Paper & cardboard packaging,16,"13 x paper takeaway napkins, 3 x chewing gum wrappers"
21447,Paper & cardboard packaging,21447 Paper & cardboard packaging,3,"1 x Subway takeaway, 1 x takeaway, 1 x chewing gum wrapper"
21447,"Toys, party poppers, ribbons, clips & similar","21447 Toys, party poppers, ribbons, clips & similar",4,"1 x ribbon/balloon clip, 2 x confetti/glitter"
21450,Paper & cardboard packaging,21450 Paper & cardboard packaging,2,"1 x chewing gum wrapper, 1 x takeaway"
21452,Paper & cardboard packaging,21452 Paper & cardboard packaging,2,1 x chewing gum wrapper
21458,Paper & cardboard packaging,21458 Paper & cardboard packaging,10,"1 x cardboard package, 1 x Sienna coffee cup, 3 x McDonalds takeaway, 3 x takeaway, 2 x chewing gum wrappers"
21462,Paper & cardboard packaging,21462 Paper & cardboard packaging,9,"2 x cardboard package, 2 x takeaway, 1 x cardboard cigarette pack, 4 x chewing gum wrappers"
21463,Paper & cardboard packaging,21463 Paper & cardboard packaging,32,"1 x cardboard package, 1 x Subway, 1 x Hungry Jacks, 1 x TO Bakery, 24 x takeaway, 4 x chewing gum wrappers"
21463,"Plastic packaging food (wrap, packets, containers)","21463 Plastic packaging food (wrap, packets, containers)",47,"37 x confectionery, 1 x Mentos, 1 x takeaway, 1 x coffee cup lid, 1 x other food package, 1 x Chatime Bubble Tea straw wrapper, 1 x CoCo Bubble Tea straw wrapper, 4 x straw wrappers"
21463,"Straws, confection sticks, cups, plates & cutlery","21463 Straws, confection sticks, cups, plates & cutlery",4,"2 x Bubble Tea straws, 1 x straw, 1 x lollipop stick"
21464,Paper & cardboard packaging,21464 Paper & cardboard packaging,17,"2 x cardboard package, 4 x Subway, 8 x takeaway, 3 x chewing gum wrappers"
21464,"Plastic packaging food (wrap, packets, containers)","21464 Plastic packaging food (wrap, packets, containers)",67,"35 x confectionery, 8 x Mentos, 1 x Nu waterbottle label, 9 x other food package, 2 x CoCo Bubble Tea straw wrappers, 6 x Share Bubble Tea straw wrappers, 6 x straw wrappers"
21465,"Appliances, electronics & batteries","21465 Appliances, electronics & batteries",3,1 x mobile phone
21465,Paper & cardboard packaging,21465 Paper & cardboard packaging,19,"6 x cardboard package, 2 x Seven Eleven coffee cup lid, 1 x coffee cup lid, 1 x Soul Origin takeaway, 7 x takeaway, 2 x chewing gum wrappers"
21465,"Plastic packaging food (wrap, packets, containers)","21465 Plastic packaging food (wrap, packets, containers)",28,"11 x confectionery, 3 x Mentos, 5 x takeaway, 2 x coffee cup lids, 1 x Chatime Bubble Tea straw wrapper, 3 x Mount Franklin waterbottle labels, 2 x Yahya food package, 1 x other food package"
21466,Paper & cardboard packaging,21466 Paper & cardboard packaging,13,"2 x cardboard package, 3 x KFC, 4 x takeaway, 4 x chewing gum wrappers"
21466,"Toys, party poppers, ribbons, clips & similar","21466 Toys, party poppers, ribbons, clips & similar",24,"23 x confetti/glitter, 1 x ribbon/balloon clip"
21468,Paper & cardboard packaging,21468 Paper & cardboard packaging,29,"16 x chewing gum wrappers, 2 x Seven Eleven coffee cups, 4 x McDonalds, 7 x takeaway"
21468,"Plastic packaging food (wrap, packets, containers)","21468 Plastic packaging food (wrap, packets, containers)",67,"38 x confectionery, 8 x Mentos, 1 x Roti Road takeaway, 1 x Bubble Tea Cup, 5 x takeaway, 2 x Seven Eleven coffee cup lids, 1 x coffee cup lid, 3 x straw wrappers, 1 x Coles waterbottle label, 7 x other food package"
21468,"Toys, party poppers, ribbons, clips & similar","21468 Toys, party poppers, ribbons, clips & similar",2,"1 x confetti/glitter, 1 x ribbon/balloon clip"
21469,Paper & cardboard packaging,21469 Paper & cardboard packaging,40,"20 x cardboard package, 2 x paper coffee cups, 1 x McDonalds, 14 x takeaway, 3 x chewing gum wrappers"
21471,Aluminium cans,21471 Aluminium cans,4,"1 x San Pellegrino, 1 x VB, 1 x V energy drink"
21471,"Miscellaneous paper, labels & tickets","21471 Miscellaneous paper, labels & tickets",44,"2 x paper receipts, 1 x sign, 29 x paper remnants, 1 x Teaser Bubble Tea sign, 1 x wax paper"
21471,Paper & cardboard packaging,21471 Paper & cardboard packaging,3,"1 x McDonalds takeaway, 1 x McDonalds, 1 x cardboard cigarette pack"
21471,"Plastic packaging food (wrap, packets, containers)","21471 Plastic packaging food (wrap, packets, containers)",63,"50 x confectionery, 6 x Mentos, 1 x CoCo Bubble Tea straw wrapper, 1 x ChaTime Bubble Tea straw wrapper, 1 x Share Bubble Tea straw wrapper, 1 x straw wrapper, 2 x McDonalds, 1 x Gong Cha Bubble Tea lid"
21471,Plastic wrap non food (bubble wrap etc),21471 Plastic wrap non food (bubble wrap etc),67,66 x plastic cigarette pack wrap
21472,Paper & cardboard packaging,21472 Paper & cardboard packaging,9,"1 x cardboard package, 1 x paper coffee cup, 1 x Hot Star Chicken takeaway, 2 x paper straw wrappers, 2 x takeaway, 2 x chewing gum wrappers"
21473,Paper & cardboard packaging,21473 Paper & cardboard packaging,12,"2 x Subway, 6 x takeaway, 3 x chewing gum wrappers, 1 x cardboard cigarette pack"
21474,Paper & cardboard packaging,21474 Paper & cardboard packaging,14,"1 x paper receipt, 12 x paper remnants, 1 x McDonalds coffee cup"
21475,Paper & cardboard packaging,21475 Paper & cardboard packaging,6,"3 x chewing gum wrappers, 2 x cardboard package, 1 x takeaway "
21479,Paper & cardboard packaging,21479 Paper & cardboard packaging,84,"1 x KFC, 67 x takeaway, 1 x Hungry Jacks, 2 x The Pie Place Coburg, 10 x chewing gum wrappers, 2 x cardboard package, 1 x cardboard cigarette pack"
21479,"Plastic drink bottles (water, juice, milk, soft drink)","21479 Plastic drink bottles (water, juice, milk, soft drink)",3,"1 x Sunraysia, 1 x Nu Water"
21479,"Plastic packaging food (wrap, packets, containers)","21479 Plastic packaging food (wrap, packets, containers)",51,"37 x confectionery, 2 x Mentos, 1 x McDonalds, 2 x coffee cup lids, 5 x straw wrappers, 2 x Isoplus waterbottle labels, 1 x Nu waterbottle label, 1 x other food package"
21480,Paper & cardboard packaging,21480 Paper & cardboard packaging,3,"2 x chewing gum wrappers, 1 x takeaway"
21483,"Straws, confection sticks, cups, plates & cutlery","21483 Straws, confection sticks, cups, plates & cutlery",17,"13 x plastic toothpicks, 3 x straws, 1 x lollipop stick"
21483,"Toys, party poppers, ribbons, clips & similar","21483 Toys, party poppers, ribbons, clips & similar",3,"1 x toys, 1 x ribbon/balloon clip, 1 x confetti/glitter"
21485,"Miscellaneous paper, labels & tickets","21485 Miscellaneous paper, labels & tickets",15,"14 x paper remnants, 1 x paper wristband"
21485,Paper & cardboard packaging,21485 Paper & cardboard packaging,3,"1 x takeaway, 1 x cardboard cigarette pack, 1 x chewing gum wrapper"
21485,"Straws, confection sticks, cups, plates & cutlery","21485 Straws, confection sticks, cups, plates & cutlery",9,"1 x cutlery, 1 x straw, 5 x lollipop sticks, 2 x plastic toothpick"
21486,Paper & cardboard packaging,21486 Paper & cardboard packaging,20,"3 x cardboard package, 2 x paper coffee cup, 14 x takeaway, 1 x chewing gum wrapper"
21487,Paper & cardboard packaging,21487 Paper & cardboard packaging,2,"1 x chewing gum wrapper, 1 x paper coffee cup"
21494,Paper & cardboard packaging,21494 Paper & cardboard packaging,3,"2 x chewing gum wrappers, 1 x paper coffee cup"
21495,Paper & cardboard packaging,21495 Paper & cardboard packaging,4,"1 x cardboard package, 1 x takeaway, 2 x chewing gum wrappers"
21496,Paper & cardboard packaging,21496 Paper & cardboard packaging,8,"2 x cardboard package, 4 x takeaway, 2 x chewing gum wrappers"
21497,Paper & cardboard packaging,21497 Paper & cardboard packaging,3,"1 x chewing gum wrapper, 1 x Starbucks coffee cup, 1 x Starbucks coffee cup"
21501,"Plastic packaging food (wrap, packets, containers)","21501 Plastic packaging food (wrap, packets, containers)",41,"12 x confectionery, 1 x Gloria Jeans takeaway, 1 x Share Bubble Tea takeaway, 2 x takeaway, 12 x Share Bubble Tea straw wrappers, 1 x Gotcha Bubble Tea straw wrapper, 1 x Iconic in Beverage Aesthetic straw wrapper, 11 x straw wrappers"
21501,"Straws, confection sticks, cups, plates & cutlery","21501 Straws, confection sticks, cups, plates & cutlery",8,"1 x bubble tea straw stopper, 4 x bubble tea straws, 3 x straws"
21502,Paper & cardboard packaging,21502 Paper & cardboard packaging,14,"5 x takeaway, 3 x Bonbon Bakery paper straw wrappers, 3 x paper straw wrappers, 1 x cardboard package, 1 x Heineken cardboard package, 1 x paper coffee cup"
21502,"Plastic packaging food (wrap, packets, containers)","21502 Plastic packaging food (wrap, packets, containers)",73,"16 x straw wrappers, 10 x Gotcha Bubble Tea straw wrappers, 1 x Iconic in Beverage Aesthetic straw wrapper, 20 x Share Bubble Tea straw wrappers, 3 x CoCo Bubble Tea straw wrappers, 17 x confectionery, 2 x takeaway, 3 x Yakult food package, 1 x other food package"
21502,"Straws, confection sticks, cups, plates & cutlery","21502 Straws, confection sticks, cups, plates & cutlery",11,"1 x plastic cup, 6 x straws, 1 x lollipop stick, 3 x bubble tea straws"
21503,"Plastic packaging food (wrap, packets, containers)","21503 Plastic packaging food (wrap, packets, containers)",112,"52 x straw wrappers, 27 x Share Bubble Tea straw wrapper, 6 x Gotcha Bubble Tea straw wrapper, 18 x confectionery, 3 x coffee cup lids, 6 x other food package"
21503,"Straws, confection sticks, cups, plates & cutlery","21503 Straws, confection sticks, cups, plates & cutlery",4,"2 x plastic cups, 2 x Bubble Tea straw stoppers"
21504,"Plastic packaging food (wrap, packets, containers)","21504 Plastic packaging food (wrap, packets, containers)",27,"7 x Share Bubble Tea straw wrappers, 5 x Gotcha Bubble Tea straw wrappers, 5 x Coco Fresh Bubble Tea straw wrappers, 8 x confectionery, 2 x takeaway"
21505,Aluminium cans,21505 Aluminium cans,4,1 x Yeos soya drink
21505,"Miscellaneous paper, labels & tickets","21505 Miscellaneous paper, labels & tickets",366,"1 x event ticket, 1 x business card, 57 x paper receipts, 303 paper remnants, 3 x miscellaneous paper, 1 x Delivery note - Mr Cash Epping Markets orange navel"
21505,Paper & cardboard packaging,21505 Paper & cardboard packaging,33,"14 x cardboard package, 1 x McDonalds coffee cup, 1 x paper coffee cup, 2 x cardboard cigarette packs, 10 x takeaway, 5 x chewing gum wrappers"
21505,"Plastic packaging food (wrap, packets, containers)","21505 Plastic packaging food (wrap, packets, containers)",128,"63 x confectionery, 3 x Mentos, 1 x Yakult, 2 x Mount Franklin waterbottle labels, 1 x Frantelle waterbottle label, 3 x Gotcha Bubble Tea straw wrappers, 5 x Alley Bubble Tea straw wrappers, 8 x Share Bubble Tea straw wrappers, 13 x straw wrappers, 1 x Coles waterbottle label, 19 x other food package, 8 x takeaway, 1 x coffee cup lid"
21505,"Straws, confection sticks, cups, plates & cutlery","21505 Straws, confection sticks, cups, plates & cutlery",18,"4 x plastic cups, 1 x cutlery, 6 x bubble tea straws, 1 Share Bubble Tea straw, 1 x Healthy Cup straw, 3 x straws, 1 x lollipop stick, 1 x Gotcha bubble tea straw stopper"
21509,Paper & cardboard packaging,21509 Paper & cardboard packaging,8,"1 x cardboard package, 1 x paper coffee cup, 2 x takeaway, 2 x McDonalds, 2 x chewing gum wrappers"
21510,Paper & cardboard packaging,21510 Paper & cardboard packaging,12,"9 x chewing gum wrapper, 2 x Seven Eleven takeaway, 1 x KFC takeaway"
21511,Paper & cardboard packaging,21511 Paper & cardboard packaging,4,"3 x chewing gum wrapppers, 1 x cardboard packaging"
21512,Paper & cardboard packaging,21512 Paper & cardboard packaging,3,"1 x Carl's Junior takeaway, 1 x takeaway, 1 x chewing gum wrapper"
21512,"Plastic drink bottles (water, juice, milk, soft drink)","21512 Plastic drink bottles (water, juice, milk, soft drink)",2,1 x Impressed Juice
21513,Aluminium cans,21513 Aluminium cans,2,1 x Mountain Dew
21513,Paper & cardboard packaging,21513 Paper & cardboard packaging,4,"1 x Coles cardboard package, 1 x cardboard cigarette pack, 2 x chewing gum wrappers"
21514,Paper & cardboard packaging,21514 Paper & cardboard packaging,14,"9 x chewing gum wrappers, 1 x cardboard package, 4 x takeaway"
